evidence_id	source_type	source_id	source_unit_id	unit_level	modality	compartment	biological_source_context	same_line_class	format_context	directedness	perturbation_context	temporal_context	pairing_group_id	donor_split_status	program_links	claim_links	evidence_role	workflow_state	caveat_or_hold_reason	cold_provenance_pointer
EV-0001	gse	GSE221343	GSM6858856	sample	single_cell	epithelial	SPC2-ST-B2_iAT2	same_line	3D	directed	LDCI	unknown	PG_P0001_same_line_cross_study_v1	not_applicable	format_vs_directed_disentanglement	P-0001	support	claim_linked	none	prov:gse221343:GSM6858856
EV-0002	gse	GSE184142	GSM5578506	sample	single_cell	epithelial	SPC2-ST-B2_iAT2	same_line	ALI	format_only	none	unknown	PG_P0001_same_line_cross_study_v1|PG_GSE184142_matched_split_format_v1	not_applicable	format_vs_directed_disentanglement	P-0001	control	claim_linked	none	prov:gse184142:GSM5578506
EV-0003	gse	GSE184142	GSM5578507	sample	single_cell	epithelial	SPC2-ST-B2_iAT2	same_line	ALI	format_only	smoke	unknown	not_applicable	not_applicable	format_vs_directed_disentanglement	not_applicable	not_applicable	hold	environmental_perturbation_hold	prov:gse184142:GSM5578507
EV-0004	gse	GSE193716	GSM5819131	sample	single_cell	epithelial	adult_primary_AT2	not_applicable	tissue_native	unknown	none	unknown	not_applicable	unknown	alveolarization_alignment	not_applicable	not_applicable	hold	adult_primary_vs_fetal_caveat	prov:gse193716:GSM5819131
EV-0005	gse	GSE184142	GSM5578505	sample	single_cell	epithelial	SPC2-ST-B2_iAT2	same_line	3D	format_only	none	unknown	PG_GSE184142_matched_split_format_v1	not_applicable	format_vs_directed_disentanglement	not_applicable	not_applicable	registered	none	prov:gse184142:GSM5578505
EV-0006	gse	GSE221342	GSM6858852	sample	single_cell	epithelial	BU3_NGAT_iAT1	same_line	ALI	directed	LDCI	ALI_passage_0	PG_GSE221342_serial_ALI_passage_v1	not_applicable	alveolarization_alignment	not_applicable	not_applicable	registered	none	prov:gse221342:GSM6858852
EV-0007	gse	GSE221342	GSM6858853	sample	single_cell	epithelial	BU3_NGAT_iAT1	same_line	ALI	directed	LDCI	ALI_passage_1	PG_GSE221342_serial_ALI_passage_v1	not_applicable	alveolarization_alignment	not_applicable	not_applicable	registered	none	prov:gse221342:GSM6858853
EV-0008	spatial_series	GSE264425	GSM8217894	sample	spatial	whole_tissue	fetal_lung	not_applicable	tissue_native	unknown	none	fetal_GW18	not_applicable	unknown	alveolarization_alignment	not_applicable	not_applicable	registered	none	prov:gse264425:GSM8217894
